ref,pred,bleu
i ve already started to see him as a weird man . , i have to be too . ,0.30934850332660563
i ve started to see things what i didn t see before . , don t have to be a job . ,0.4188647040415359
sister starts looking into the reason . , do you are . ,0.33401359264888447
i started late because my phone got a while . , i have to be a lot . ,0.5270837136273565
i started to study english recently . , i do there to do . ,0.7118034480382983
and i got since year before . , do there is . ,0.33401359264888447
i am working as an intern for two months starting today . , i do not work . ,0.1961113472255835
the director of this drama has made many famous films . , the is is in korea . ,0.3302232277439296
you were cruel woman and are cruel now . , you are . ,0.1353352832366127
let s have a cup of coffee when the weather is not good . , do you have to be good . ,0.19018379497840193
i had dinner and a glass of wine at a fancy restaurant . , i have to go in korea . ,0.310263420349682
i drank a cup of alcohol with a pork . , you are very good . ,0.24601580968354606
it s not even that far from incheon city hall ! , you are too . ,0
but you said it would go through without a ! , you will be in the future . ,0.4004970149398301
the hotel has an east main and we re on west main ! , do you have a lot . ,0
if i work your company i can see you everyday . , i have to be here . ,0.3302232277439296
you are not even an exam supervisor . , do there is it . ,0.3670124608961283
it s unfair . you said you would give me fifty . , do you have . ,0.11380295453101374
you are chatting with a happy person . , my work is . ,0.2601300475114445
we get to taste the main asian dishes . , do you have . ,0.2025894847023147
there are not many here . , do there are it . ,0.5095231471606585
human doesn t have a breeding season like animals . , do there are . ,0.15777684932819508
you usually wear jeans and sneakers . , you are not . ,0.39721134088567395
it doesn t even pass one day since you said that . , i have to do . ,0.16490932887256968
cleaning time is set and it has to be done every day . , i do there . ,0.07452850641949799
you told the manager that you will be coming on sunday . , you are here . ,0.11380295453101374
there are many games which need a protection gear . , the is is . ,0.15777684932819508
you don t have any classes on thursday morning . , you are here . ,0.18762935180380186
you re supposed to have class next monday . , you will do . ,0.24092085663272753
you also have your ex boyfriend s picture . , you are very important . ,0.35733817274964674
rolled omelet is recorded like this on the bill . , do you have to do . ,0.3280443278078623
you are going to america after the exam . , i have to do . ,0.35733817274964674
we already know each other s secrets . , do you are . ,0.2601300475114445
but i can t just sit around and do nothing . , don t do there . ,0.2650845609581655
you said you will send this by yourself . , you are not . ,0.24092085663272753
but you re going to come together . , you are . ,0.17066837315703817
it s more fun when there are more friends . , do you have been . ,0.24601580968354606
it s over you can not pick up the spilled water . , are there is not too . ,0.27952792741962756
you guys up on the left side . , you are in korea . ,0.43645382979233377
the is somehow more nervous . , i do there . ,0.42888194248035344
that s what we did for jenny and bill last year . , do there is . ,0.09569649651041094
you are now next to me and will be the same in the future . , i have to do there . ,0.16954225822593183
if i go to the philipines we have a work to do . , you are not to korea . ,0.23661528215726477
you talked me to chat in the evening . , i do there . ,0.2025894847023147
but an object doesn t have a character like a person . , do there are it . ,0.16490932887256968
but now you see i don t do anything with them . , i don t have . ,0.14901239998320878
but we have to get this report out tomorrow . , this is this . ,0.18762935180380186
i m exactly six feet tall and you re no taller than i am . , you are not . ,0.053756709323557396
it s just easier to live with someone . , do you have to do . ,0.4608636396914616
it s your sister s wedding anniversary . , you are very important . ,0.3670124608961283
no i know you did it purposely to me . , do you are . ,0.18762935180380186
particularly running is a very boring sport . , i have to do . ,0.3670124608961283
but that type of man is not around . , do there are a lot . ,0.38753858253732953
they are looking good together these days in we got married . , do there are it . ,0.1961113472255835
we need to develop new products if we expect to compete . , you are possible . ,0.09569649651041094
you know we are people who draw not people who write . , do there are it . ,0.1961113472255835
the castle commands a wide view of the nearby mountains . , do you have . ,0.12287673380733741
but then s wedding is coming soon . , i do there . ,0.2601300475114445
you know the equipment has been improved recently . , it is very important . ,0.3004843884984905
well as they say a messy room means a creative mind . , do not have . ,0.09569649651041094
there is only one more week to go . , do you have . ,0.2025894847023147
he s been you and your child . , you are . ,0.17066837315703817
you don t have many chances to come to my home . , you are too . ,0.11380295453101374
i agree but it s a criticism of a past event . , i do there . ,0.11380295453101374
i agree with you though she s very useful sometimes . , i don t have . ,0.23953094040783438
you want the last line to be memorable . , the is is in korea . ,0.4608636396914616
well you hardly ate anything all week . , you are there . ,0.30934850332660563
he s been on his phone for the last half hour . , do you have . ,0.09569649651041094
we pay a very high tuition every month . , we are very important . ,0.3954596950007842
i ll come and visit you and you can do the same in texas . , don t like to be a job . ,0.24786763988804325
no but they have maps and signs in english . , you do t . ,0.15777684932819508
you can t back out at the last minute like this . , don t do there . ,0.1961113472255835
it was your idea to have a meeting tonight . , you are . ,0.07368276169123442
someone may have had his ticket refunded . , do there are . ,0.2601300475114445
but jeff you ll leave a legacy behind anyway . , you are there . ,0.18762935180380186
it s more quiet than a front one . , you are in korea . ,0.3004843884984905
you re the best player on the team . , you are . ,0.12228923309170908
well you don t have to wake up to her in the morning . , it is very very much . ,0.16842357369809585
you re the chief officer of the agency . , you are . ,0.12228923309170908
and you ve taken the to that effect in court . , you are . ,0.0627853857426504
you said the same thing about the who stole our money . , you are too . ,0.11380295453101374
both of you must be lonely living this way . , do you are . ,0.18762935180380186
it means apples are very good for you . , is the best for not . ,0.4608636396914616
well you can make calls anytime you want . , you are . ,0.12228923309170908
but you didn t even vote in the last election . , you are . ,0.0627853857426504
he has a house a job lots of girlfriends . , my is is . ,0.15777684932819508
we have a lot of delicious food in the autumn . , do there is a lot . ,0.24439253249722204
but like you said it s a special day . , i have to do . ,0.24601580968354606
but six months have already passed since i came here . , you are in korea . ,0.20142070913129906
people are nowadays evaluated on their own merits . , do there is a problem . ,0.38753858253732953
i wish i could pay you back but nothing from money . , i don t want to do it . ,0.42888194248035344
can we refresh ourselves just looking like this ? , do you want to do ? ,0.38753858253732953
but you aren t familiar with subways in tokyo are you ? , do you have to do ? ,0.27952792741962756
i will drive car and when i arrived i will sleep immediately . , i have to go to korea . ,0.310263420349682
i will go to bed after having a drink with friends . , i have to have to work . ,0.3960914423407551
yes i had a haircut to refresh myself . , i have to do . ,0.3954596950007842
i got a hair cut from that hair salon . , i have to be my house . ,0.476273899703797
i can write in english but i can t speak . , i do not to be good in korea . ,0.6084288535721682
who is the best baseball team in japan ? , do this is korea ? ,0.35733817274964674
hong is so handsome and good at rapping as well ! , you are very important . ,0
how do these girls sing this well ? , do you have to do ? ,0.5444460596606694
i am very adaptive to new environments and other cultures . , i don t have . ,0.23953094040783438
he s not handling his work well but he cooks well . , he is is . ,0.11380295453101374
all koreans working in the airport are good at english . , do my best is . ,0.20142070913129906
you good at acting and . , do there is the problem . ,0.6389431042462724
the staff is kind and good at english . , do there are a lot . ,0.38753858253732953
i can concentrate on it well because i take enough rest . , i have to be . ,0.1961113472255835
my friend s girlfriend speaks good chinese . , my dream is . ,0.30934850332660563
she is kind like an angel and careful . , she is not . ,0.20258948470231466
i m the best at accounting among us . , the is . ,0.12228923309170908
i am good at playing badminton among sports . , do you are . ,0.2025894847023147
i m good at arranging document and schedule management . , do you have to work . ,0.3280443278078623
i m good at adapting to unfamiliar places . , i don t have . ,0.35733817274964674
i am good at planning and everything . , i have to do . ,0.43645382979233377
i am sociable and well adapted to the change . , i have to be . ,0.3237750138999811
my little sister is very good at playing the violin . , my husband are . ,0.14612588611198102
so my brother is good at keeping a job . , my is is there . ,0.3237750138999811
maybe i am good at doing an exercise . , you are . ,0.10283257773094409
all actors appearing are very good at acting as well . , do there is . ,0.12287673380733741
my wife is good at cooking just like a cook . , is is very important . ,0.23953094040783438
he is good at skipping and . , do there are it . ,0.4482700320176827
i play golf even better when it s raining . , i have to be here . ,0.39011264866539486
secondly it prevents and relieves hangovers . , do there is . ,0.33401359264888447
even though my english isn t good his english is very good . , i don t have to . ,0.23661528215726477
i work hard and i am good at the work . , i have to have . ,0.23953094040783438
among us you are the best in english . , you are there . ,0.20258948470231466
they are good at speaking sweet words to women . , they are very very . ,0.22894350790744533
he has a for sports and is good at everything . , do you have . ,0.12287673380733741
he is good at playing a piano making a movie and acting . , he is is . ,0.07452850641949799
i am always diligent in doing what is given to me . , you are too . ,0.09569649651041094
i guess you like cooking what kind of foods are you good at ? , do you have ? ,0.06902498108894259
mine was all speaking korean well . , my is . ,0.20029051217596075
i drink coffee in the morning and take a nap after i jog . , do you have been a lot . ,0.26896050220204015
catch the person who you really like . , you are too . ,0.30934850332660563
if you re ever given a chance like me never miss it . , don t be good . ,0.13501633901742352
im confused very much for several days . , the is very important . ,0.43645382979233377
it is to drive in philippine . , you are in korea . ,0.5330859115179258
my head is too complicated to fall asleep again . , you are . ,0.07368276169123442
did you sleep after eating ramen last night ? , do you want to ? ,0.35733817274964674
i slept having sweet dreams ! , do you have to have . ,0
i went bed early because i was tired yesterday . , i do my week . ,0.2925637512788283
i was so sick that i could not sleep all night . , don t have to be good . ,0.30096441267171586
i slept all day because i was sick . , i do my best . ,0.35733817274964674
i overslept because i played till late last night . , i have to do . ,0.2925637512788283
i slept early because i drank while eating dinner . , you will be very busy . ,0.3280443278078623
i had a toothache and couldn t sleep last night . , i don t have . ,0.2650845609581655
the cough has been keeping me awake these last few nights . , i have to be in korea . ,0.30096441267171586
i sat up till late last night as i had much work to do . , i have to do . ,0.08177973903308229
no i was wide awake and never fell asleep . , don t come . ,0.15777684932819508
she slept in late when he asked her to meet today . , i do my best . ,0.16490932887256968
is the second largest skiing slope in korea . , do there are . ,0.2025894847023147
one return ticket of green class carriage please . , do you have . ,0.2025894847023147
is it a workplace that i can work for all my life ? , do you have ? ,0.07452850641949799
often appear in the movie . , i have to be . ,0.5475182535069453
save printing data when printing documents . , you are . ,0.20029051217596075
i get nervous everytime before the show . , my is is . ,0.2601300475114445
i put off the reservation of the hotel like attached file . , do you have to work . ,0.23505403213046533
it is shown as a traditional imaginary beast in our country . , do the most is . ,0.1961113472255835
i always feel nervous before an interview . , you are too . ,0.2601300475114445
he that his opinion is always . , do she is going . ,0.5330859115179258
i read books and i buy the books that i like . , i have to be . ,0.1961113472255835
they are recommended to use personal mail . , you are very important to korea . ,0.7013967267997694
the seller that he also has selling rights . , the is in korea . ,0.35733817274964674
i insist that david should make it by himself . , don t have to do . ,0.3280443278078623
they argue that the products haven t arrived at the port yet . , they are . ,0.03223509186534155
save original images in camera roll . , do there is it . ,0.4482700320176827
two children who miss their mother appear . , i have to do . ,0.3670124608961283
it is amazing that the movie lasts forever . , the is is there . ,0.3954596950007842
but japan that kimchi is japanese food . , do there are very important . ,0.45782273986766686
there are three couples in this show . , do the most is . ,0.3670124608961283
and guests show up on this program . , you are . ,0.14351442318493668
laundry is available and hand wash is recommended . , do there is it . ,0.35733817274964674
in pinocchio the person who can t lie naturally appeared . , you are too . ,0.12287673380733741
it is recommended to hand wash with a mild detergent . , do there s . ,0.12287673380733741
some say islam is a peaceful religion . , is it is too . ,0.43645382979233377
specifically his argue is as follows . , he is is . ,0.39721134088567395
sushi and udon after the work out taste fantastic . , the is very important . ,0.2925637512788283
there are various ethnic groups in movies or books . , we have to be a lot in korea . ,0.6143868746168435
in the first scene of music video gambino appears . , i have to be . ,0.24601580968354606
i strongly recommend you to ride a bicycle there . , i do not . ,0.18762935180380186
when using we recommend wearing dark socks . , do there is it . ,0.3670124608961283
in the beginning all new students are nervous . , is is important . ,0.2025894847023147
the fish grows when you put a fish in a tank . , do you have a problem . ,0.30934850332660563
the main characters are and sam franklin . , do there is it . ,0.3670124608961283
i used the photos you sent me yesterday as my wallpaper . , you are here . ,0.11380295453101374
what is the thing about korean life ? , do you have ? ,0.2601300475114445
the worst thing of all was the absence of public security . , is is not . ,0.09569649651041094
you were not an being to me . , you are too . ,0.30934850332660563
he was like a father to mock lee . , is is there . ,0.2025894847023147
you re a at the short approach . , you are too . ,0.30934850332660563
there is only one weekly production plan for each week . , do you have . ,0.12287673380733741
the past exists since it can be . , is it is . ,0.30934850332660563
advertisements exist in various places in various forms . , are is very important . ,0.3004843884984905
there are a lot of games on computers and cellphones . , do many people t . ,0.20142070913129906
there are biological differences for sure . , do there is . ,0.39721134088567395
potential dangerous element like this . , do you have to work . ,0.6389431042462724
at this point there are differences among each person . , do there is . ,0.18762935180380186
of exist over the world . , do there are . ,0.42888194248035344
these kinds of women exist in history . , do this is . ,0.2601300475114445
economy exists everywhere in our life . , do our is . ,0.39721134088567395
here has a rock resembles a dragon s head . , you are very important . ,0.24601580968354606
there are gears for several parts . , do this is . ,0.33401359264888447
students usually have to pay the expensive school expenses . , do there are much . ,0.24601580968354606
but there are various hair color in america . , do there are a lot . ,0.34107725495137897
first usa have dangers because of possession of arms . , the is important to be . ,0.3280443278078623
there is both bad and good men in korea too . , do much is too . ,0.18744309064137757
we have a partner always in our life . , you are too . ,0.2025894847023147
these things have similarity in using light . , do this is . ,0.2601300475114445
these exist in views towards the world . , the is is . ,0.30934850332660563
all of you exist in my heart forever . , i have to do . ,0.3004843884984905
in polluted air there fine matters . , do you have . ,0.33401359264888447
denmark also has an interesting law related to prisoners . , do you have to be . ,0.39011264866539486
there are four things that interrupt my study . , you are in korea . ,0.35733817274964674
there are advantages when we meet various people . , we are not to korea . ,0.510029457493824
this model has two different cases . , you are . ,0.20029051217596075
in the movie there surely exists a president . , is this is . ,0.2025894847023147
and controversy exists over the of those facts . , do you are . ,0.2025894847023147
there are similar articles on korea s privacy law . , do our problem . ,0.15777684932819508
existence of people makes normal people exist . , do there are it . ,0.3670124608961283
we exist for a company which changes the world . , do there s . ,0.15777684932819508
unknown exist in strange and form . , do you have to work . ,0.5408536609893481
there is a burning culture in the world of nurses . , do you have . ,0.12287673380733741
there are many functions in animation for adults . , do not have to work . ,0.38753858253732953
one of the most beautiful answers exists . , the is is there . ,0.43645382979233377
unfortunately racial discrimination still exists today . , i have to do . ,0.4482700320176827
history of radio marketing is old but still . , is is there . ,0.24092085663272753
there are two courses to san peak . , do there are . ,0.2601300475114444
like this there are differences in culture between countries . , do this is possible . ,0.2925637512788283
as there are advantages there are also shortcomings . , do our problem . ,0.2025894847023147
ten so far and they re all from very qualified people . , is is important . ,0.09569649651041094
look back at you first before requesting me a change . , you are . ,0.0627853857426504
after breaking the egg until it is well mixed . , you are too . ,0.15777684932819508
save your phone number on my phone . , you are your best . ,0.43645382979233377
write down the reason that you can t appreciate . , you are . ,0.08762406445626589
write down the number of pills he needs . , the is is very hard . ,0.4608636396914616
my friends love far away so its seldom when we play together . , do you have to go . ,0.19896894256029013
please write your address in the right form . , do you have to work . ,0.38753858253732953
i wrote it because i think you should know . , you are not too . ,0.2925637512788283
do i write my korean name in english ? , do you have to ? ,0.35733817274964674
those ladies laughs are so attractive . , you are . ,0.23818690214719165
andong is the most traditional place in korea . , do the most . ,0.20258948470231466
what is the most impressive in korea ? , do you have to korea ? ,0.36409302398068727
our current campaign has been particularly successful . , do our problem . ,0.30934850332660563
why is it efficient to use to skins ? , do you have ? ,0.2025894847023147
why are people so about learning english ? , do you have ? ,0.2601300475114445
police keeps to arrest suspect . , do there is . ,0.42888194248035344
the climate in spring and fall is mild and comfortable here . , the is is very . ,0.2170328822226251
the philippines is the only trip i had made abroad . , i have to be . ,0.23953094040783438
that is the only photo i have on my phone . , the is is in korea . ,0.3654520756092885
it will be saturday or sunday morning here . , do there is it . ,0.35733817274964674
it s infinite challenge that i m watching . , the is is there . ,0.3004843884984905
it was the best twist since sixth sense . , is the most important . ,0.35733817274964674
the travel destination i want to recommend to you is jeonju . , i have to do . ,0.2170328822226251
that company s name is sebang battery . , the is is there . ,0.43645382979233377
challenge yourself to whatever makes your heart beat . , you are not . ,0.2025894847023147
you deliver our thoughts to him instead of us . , you are your . ,0.18762935180380186
the car in front of us keeps on driving weirdly today . , i have to be in korea . ,0.3579090209118197
you are advised to deposit valuables in the counter . , do there are . ,0.18762935180380186
i say thank you on behalf of the koreans . , have is the best . ,0.2925637512788283
teens particularly drive in fast speed . , you are very important . ,0.4482700320176827
her father drives through incheon bridge . , my is is . ,0.33401359264888447
i charged it mutiple times because the amount kept decreasing . , are is very important for you . ,0.34718201116725705
everybody has one goal and challenges for it . , the is is important . ,0.3004843884984905
when it comes to a banana boat it is safe . , do there is . ,0.14612588611198102
challenge to a new beginning and letting go of the lazy mind . , you are too . ,0.07452850641949799
i am safe because of the experience at that time . , do you have to be . ,0.27768352844338134
i d like to express my comfort from a distance . , i have to do . ,0.2650845609581655
i feel so lonely because allen is not beside me . , i do there . ,0.14612588611198102
i send you my news in a long time . , i have to have . ,0.2925637512788283
it s safe to wander around at in korea . , do you have . ,0.15777684932819508
please pass along my appreciation for your friend . , i have to be too . ,0.38753858253732953
thank you for teacher s gratitude . , we will have to work . ,0.5408536609893481
if i don t have a cigarette in my mouth my mouth feels empty . , don t do not . ,0.08422360974882068
if it really happened my are with you . , i do not have . ,0.3004843884984905
it is safer that we set our goals low than setting them high . , do you have been good time . ,0.22616792214653433
it s safer to send checks by registered mail . , do there are . ,0.15777684932819508
first i apologize for late reply due to business trip . , is the best for time . ,0.3302232277439296
they are our official dealer and they are safe . , they are possible . ,0.15777684932819505
thank you so much for your support for our family . , you are very important . ,0.23953094040783438
please say happy birthday to your sister for me . , my is my family . ,0.24601580968354606
call me later if you re bored or lonely . , i have to do . ,0.24601580968354606
take care of your wife and call me again next time . , i have to be good to you . ,0.36064528799877893
if this letter is strange please call me . , do not have to be good . ,0.46199933699457096
whenever you feel tired and lonely feel free to call me . , do you have to do . ,0.30934850332660563
if you want to keep in touch with me contact this number . , don t want to be a long time . ,0.2896859418303228
and also it matches well with my major . , do you are . ,0.2025894847023147
it s probably the most famous temple in korea . , the is is there . ,0.2925637512788283
when do you think is the most beautiful season ? , do you have ? ,0.15777684932819505
she is smart and kind to everyone . , do she is important . ,0.34154357946095637
those who support north korea are miserable . , the is is . ,0.2601300475114445
the most people the philippines are very kind . , do people t be . ,0.35733817274964674
the staffs are very kind and it is located near a station . , do there is the best . ,0.261857854688235
now i am eager to enter the changwon . , i have to be too . ,0.510029457493824
light because the speed changes . , the is . ,0.3324166001293853
she is kind but always unfriendly to echo . , she is not . ,0.20258948470231466
i politely what the buyer suggested . , do you are . ,0.33401359264888447
she is kind enough to do the laundry . , she will have . ,0.24092085663272753
we control the stress with using this room . , we are too . ,0.24092085663272753
you are kind when talking through a cell phone . , you are very important . ,0.22894350790744533
i desperately need you when i bleed or when i m in a toilet . , do you have . ,0.053756709323557396
the people in this city are so nice . , do the most . ,0.24092085663272753
samples are largely damaged and most them . , do there are . ,0.30934850332660563
therefore i m keen on becoming a paul bocuse student . , do not have . ,0.12287673380733741
that bright dress is improper for this ceremony . , the is . ,0.12228923309170908
he always laughed and he was kind to me . , do he is too . ,0.2925637512788283
i ve been asked out but turned it down . , you are too . ,0.15777684932819508
the place where you are right now is a cellphone store . , you are . ,0.04186576731652839
what scores are maximum to add majors and finals ? , do you ? ,0.07368276169123442
treat others the way you want to be treated . , you are too . ,0.18762935180380186
do to others as you would be done by others . , do you have to do . ,0.392703811972245
this phone is the most similar to iphone of apple . , korea is there . ,0.14612588611198102
meeting different people and experiencing new culture . , do many things . ,0.2601300475114445
the perfection of the helmet you sent is so clumsy . , you are very . ,0.14612588611198102
he is so handsome that other people talk about it . , do not have to be a job . ,0.40866465020165643
what is the scope of your network ? , do you have it ? ,0.3670124608961283
let me see about fifteen minutes on foot . , i have to do . ,0.3004843884984905
not very often maybe once every two years . , do not have to do . ,0.4608636396914616
i can t sleep because of thinking . , i don t . ,0.3423503955179092
you also need a break i m worried . , you are not . ,0.24092085663272753
but i m afraid you might get sick . , you are . ,0.12228923309170908
i m worried that you get into trouble . , i have to be . ,0.35733817274964674
i m worried about my irregular pulse . , i have to do . ,0.43645382979233377
i m worried about his . , i have to be . ,0.6511126026643229
i am worried that you might be in trouble . , do you have . ,0.18762935180380186
even the case is closed i ll help you so don t worry . , i have to do . ,0.1314573673003644
i ll surely pay back the delivery fee so don t worry . , i will do there . ,0.16056239100113953
i do not worry even if i am being deceived by you ! , i have to do . ,0.16056239100113953
tonight i m going to attend the alumni meeting . , my family are . ,0.15777684932819508
i am worried as we might not be able to communicate . , i have to be good . ,0.3324166001293853
we are going to stay long in osaka . , is is there . ,0.2025894847023147
i expect to teach soccer tomorrow . , i do my best . ,0.5330859115179258
i m worried about gaining weights these days . , i have to be in korea . ,0.5494128986804837
i am going to go to cebu city around august . , i have to be . ,0.2650845609581655
i am worried if you do not like it . , i have to do . ,0.3237750138999811
i am going to stay in daejeon until friday . , you are here . ,0.15777684932819508
i will stop over at vancouver before going to korea . , do my best is here . ,0.27768352844338134
i m also going to go to the birthday party . , i have to do . ,0.2650845609581655
i m going to go to a field this saturday . , i do not come . ,0.23953094040783438
i am worried if other dogs are guarding the house well . , do you are . ,0.11380295453101374
i am worried that mom is also not getting enough sleep . , i have to do . ,0.1961113472255835
instead we are going to go to in france in june . , i do t work . ,0.16490932887256968
tomorrow i am going to eat delicious food with my sister . , i have to be a house . ,0.3960914423407551
i am going to travel to taiwan for a long period . , i have to be here . ,0.30934850332660563
i am planning to go to this january . , i do there . ,0.24092085663272753
we are planning to go to next month . , i have to do there . ,0.4608636396914616
you are going to live in korea alone . , i have to do . ,0.35733817274964674
hey i am worried since it s so hot these days . , the is is . ,0.09569649651041094
i plan to eat dinner with and eat lunch by myself . , i have to be . ,0.2170328822226251
one day of trip i m going to go to china club . , do there is it . ,0.13501633901742352
so his elderly parents worried about him day and night . , do there is . ,0.12287673380733741
the doll you ordered will be shipped next week . , you will have to work . ,0.43173061492439624
what makes you worry the most when you get off at incheon ? , do there are ? ,0.07452850641949799
roughly when will you come to korea ? , do you have ? ,0.30934850332660563
how long is your trip going to be ? , do you have to ? ,0.35733817274964674
what are you going to do after this short term ? , do you want ? ,0.1617148761603177
for how long he is going to stay ? , do you ? ,0.10283257773094409
i m planning to go to today . , do you have . ,0.2601300475114445
i will do the kakaotalk when i get home . , do you have to work . ,0.39011264866539486
in case of types you just modify them yourself . , i don t . ,0.15777684932819508
we make growth but he always worried about us . , we are . ,0.08762406445626589
i confirmed our reservation for the room . , you are not too . ,0.3670124608961283
if you are okay let s pick another date . , you will be good . ,0.2925637512788283
i adjust a height by using the steering wheel . , do there is . ,0.15777684932819508
then run the application and set your school and campus . , do you have . ,0.12287673380733741
we offer you korean cosmetics and fashion items . , are about the people . ,0.3004843884984905
click and modify the positive feedback . , do there is it . ,0.4482700320176827
i decide to take a job when i feel comfortable . , i have to be here . ,0.3654520756092885
a president decides the most important matter in the country . , the is is very important . ,0.3654520756092885
you worry whether this house is noisy or not . , you are too . ,0.18762935180380186
the material is judged as negative . , is is in korea . ,0.5330859115179258
i worry about things that have not happened yet . , do you are . ,0.15777684932819508
worry about that can t wake up early . , you are . ,0.10283257773094409
my brother is worried about having a phone call when driving . , you are in korea . ,0.16490932887256968
make a rational decision with the purchase list . , do you are . ,0.2025894847023147
set adjustment and measure of circled object . , the is is . ,0.2601300475114445
i admit the existence of two markets . , do there is . ,0.2601300475114445
the government has decided to reduce the number of smokers . , do there are . ,0.12287673380733741
this is my life and i make the decisions . , i do there . ,0.18762935180380186
your choice decides the flow of this game . , you are in korea . ,0.3004843884984905
